State,CD,STATE_CD,Last_name,First_name,Party,PVI,Sixteen_Winner,Sixteen_Margin,Trump_tot,Clinton_tot,Twelve_winner,Twelve_Margin,Romney_tot,Obama_tot,Trump_net_percentage
WA,5,WA-5,MCMORRIS RODGERS, CATHY ,R,R+ 8,Trump,13,52,39,Romney,10,54,44,-1
NC,9,NC-9,PITTENGER, ROBERT ,R,R+ 8,Trump,12,54,42,Romney,12,55,44,-1
AR,2,AR-2,HILL, FRENCH ,R,R+ 7,Trump,11,52,42,Romney,12,55,43,-2
FL,6,FL-6,DESANTIS, RON ,R,R+ 7,Trump,17,57,40,Romney,6,53,47,4
NC,2,NC-2,HOLDING, GEORGE ,R,R+ 7,Trump,12,54,42,Romney,11,55,44,-1
OH,12,OH-12,TIBERI, PAT ,R,R+ 7,Trump,11,53,42,Romney,11,54,44,-1
WI,8,WI-8,GALLAGHER, MIKE ,R,R+ 7,Trump,17,56,38,Romney,4,51,48,5
OH,15,OH-15,STIVERS, STEVE ,R,R+ 7,Trump,16,55,40,Romney,6,52,46,3
NV,2,NV-2,AMODEI, MARK ,R,R+ 7,Trump,12,52,40,Romney,8,53,45,-1
MI,7,MI-7,WALBERG, TIM ,R,R+ 7,Trump,17,56,39,Romney,3,51,48,5
TX,7,TX-7,CULBERSON, JOHN ,R,R+ 7,Clinton,1,47,48,Romney,21,60,39,-13
FL,16,FL-16,BUCHANAN, VERN ,R,R+ 7,Trump,11,54,43,Romney,9,54,46,-1
VA,5,VA-5,GARRETT, TOM ,R,R+ 6,Trump,11,53,42,Romney,8,54,46,-1
CO,3,CO-3,TIPTON, SCOTT ,R,R+ 6,Trump,12,52,40,Romney,6,52,46,0
NM,2,NM-2,PEARCE, STEVE ,R,R+ 6,Trump,10,50,40,Romney,7,52,45,-2
VA,7,VA-7,BRAT, DAVE ,R,R+ 6,Trump,7,50,44,Romney,11,56,44,-5
MI,3,MI-3,AMASH, JUSTIN ,R,R+ 6,Trump,9,52,42,Romney,7,53,46,-2
